show_id	type	title	director	country	date_added	release_year	rating	duration	listed_in	language	imdb_score	popularity	description
s00125	Movie	Last Journey 125	J. Lee	South Korea	June 10, 2018	2002	PG	165 min	Horror	Japanese	7.1	61	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00126	Movie	Shadow Code 126	K. Tanaka	Japan	October 02, 2021	1997	PG	117 min	Action	Spanish	5.8	82	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00127	Movie	Broken River 127	K. Tanaka	United Kingdom	December 03, 2021	2004	R	158 min	Comedy	Spanish	7.7	81	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00128	TV Show	Broken River 128	K. Tanaka	Germany	June 08, 2019	2016	PG	2 Seasons	Drama	Spanish	6.7	100	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00129	Movie	Golden Dream 129	J. Lee	United Kingdom	October 31, 2021	2019	TV-MA	137 min	Horror	English	7.5	74	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00130	Movie	Silent Dream 130	K. Tanaka	United Kingdom	October 11, 2021	2023	TV-14	173 min	Action	French	8.6	91	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00131	Movie	Hidden River 131	M. Garcia	France	November 28, 2022	1996	R	127 min	Horror	French	8.6	54	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00132	Movie	Last Dream 132	S. Patel	Australia	June 21, 2021	2020	PG-13	175 min	Sci-Fi	Spanish	8.6	72	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00133	TV Show	Silent Dream 133	L. Brown	United States	October 26, 2019	2021	G	4 Seasons	Sci-Fi	Spanish	7.7	46	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00134	Movie	Golden Empire 134	E. Martin	Germany	March 13, 2021	1997	TV-14	172 min	Thriller	English	9.3	54	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00135	TV Show	Last City 135	K. Tanaka	Germany	December 02, 2021	2024	PG	1 Seasons	Documentary	Japanese	9.5	63	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00136	Movie	Broken River 136	S. Patel	United Kingdom	April 26, 2018	2005	TV-14	87 min	Drama	Spanish	9.2	70	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00137	Movie	Shadow City 137	A. Smith	Japan	April 06, 2023	2009	TV-14	153 min	Action	Korean	9.3	78	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00138	TV Show	Golden Empire 138	R. Kumar	United States	April 01, 2019	2019	TV-14	5 Seasons	Thriller	French	8.7	69	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00139	Movie	Silent Code 139	A. Smith	Germany	March 31, 2019	2021	R	138 min	Documentary	French	6.1	67	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00140	Movie	Last Dream 140	R. Kumar	Germany	December 16, 2021	2002	PG	148 min	Comedy	Korean	7.7	90	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00141	Movie	Shadow River 141	K. Tanaka	South Korea	May 19, 2022	2022	PG	135 min	Drama	Spanish	8.7	62	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00142	Movie	Broken Empire 142	J. Lee	United States	March 01, 2019	2019	PG	149 min	Romance	French	6.2	89	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00143	TV Show	Golden City 143	E. Martin	United States	May 15, 2023	2015	PG	3 Seasons	Documentary	English	8.7	96	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00144	Movie	Silent Journey 144	E. Martin	Japan	July 16, 2021	2024	TV-MA	114 min	Documentary	Spanish	6.9	89	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00145	Movie	Hidden Journey 145	K. Tanaka	France	September 21, 2021	2003	PG-13	90 min	Romance	Hindi	7.5	71	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00146	TV Show	Broken Journey 146	R. Kumar	Spain	October 28, 2023	2003	R	2 Seasons	Action	Korean	6.7	46	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00147	Movie	Hidden Journey 147	K. Tanaka	United Kingdom	September 05, 2021	2016	G	112 min	Sci-Fi	Spanish	7.3	86	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00148	TV Show	Shadow River 148	K. Tanaka	South Korea	November 17, 2022	2003	R	1 Seasons	Action	English	6.1	78	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00149	TV Show	Golden River 149	S. Patel	South Korea	May 23, 2018	1999	PG-13	2 Seasons	Drama	Korean	6.1	68	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00150	TV Show	Silent Dream 150	S. Patel	Spain	March 04, 2022	2009	PG	2 Seasons	Horror	Hindi	9.3	41	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00151	Movie	Silent City 151	L. Brown	Japan	August 07, 2023	2011	G	124 min	Sci-Fi	Hindi	9.5	58	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00152	TV Show	Shadow Journey 152	J. Lee	France	March 30, 2020	1998	TV-MA	3 Seasons	Romance	French	6.9	44	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00153	TV Show	Broken River 153	J. Lee	South Korea	May 13, 2021	2022	R	3 Seasons	Documentary	English	9.4	90	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00154	Movie	Shadow Empire 154	S. Patel	France	August 27, 2020	2020	R	138 min	Action	Korean	9	44	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00155	TV Show	Silent Journey 155	K. Tanaka	Australia	June 19, 2022	2017	TV-MA	8 Seasons	Action	Spanish	8.1	68	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00156	TV Show	Silent River 156	J. Lee	United Kingdom	October 21, 2023	2006	PG-13	3 Seasons	Drama	English	7.6	59	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00157	Movie	Golden Empire 157	L. Brown	India	October 26, 2019	2005	PG	165 min	Documentary	French	9.3	57	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00158	Movie	Shadow Code 158	J. Lee	Australia	May 25, 2021	2014	R	143 min	Action	Hindi	8.1	86	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00159	TV Show	Shadow City 159	L. Brown	Canada	April 27, 2024	1996	R	1 Seasons	Thriller	Korean	8.1	71	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00160	TV Show	Broken Journey 160	L. Brown	France	May 22, 2021	2010	TV-MA	4 Seasons	Drama	Hindi	7.3	70	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00161	TV Show	Hidden River 161	S. Patel	South Korea	April 15, 2020	2005	PG-13	3 Seasons	Action	Spanish	7.6	46	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00162	TV Show	Hidden Journey 162	M. Garcia	United Kingdom	September 17, 2020	2009	TV-MA	2 Seasons	Drama	Spanish	9.3	95	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00163	TV Show	Hidden Code 163	S. Patel	Canada	October 13, 2020	2022	TV-14	3 Seasons	Sci-Fi	Korean	7.4	96	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00164	TV Show	Last Code 164	E. Martin	Canada	July 31, 2023	1995	TV-14	2 Seasons	Romance	English	5.7	71	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00165	TV Show	Shadow Journey 165	J. Lee	Japan	March 16, 2021	2012	G	1 Seasons	Romance	Japanese	7	65	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00166	Movie	Hidden Code 166	L. Brown	India	May 24, 2024	2012	PG-13	99 min	Sci-Fi	Korean	6.6	79	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00167	Movie	Hidden Empire 167	S. Patel	United Kingdom	June 12, 2019	1998	TV-14	125 min	Thriller	Korean	5.7	42	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00168	Movie	Silent Journey 168	J. Lee	Australia	September 26, 2021	2020	R	135 min	Action	Spanish	9.2	60	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00169	Movie	Hidden Code 169	S. Patel	Germany	May 29, 2022	2014	R	169 min	Sci-Fi	French	7.8	70	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00170	Movie	Shadow Journey 170	L. Brown	United States	February 17, 2022	2005	R	161 min	Sci-Fi	Spanish	9.4	90	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00171	Movie	Golden Code 171	K. Tanaka	United Kingdom	July 30, 2018	2013	G	136 min	Documentary	English	7.8	84	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00172	Movie	Hidden Journey 172	J. Lee	Spain	February 21, 2020	1995	G	131 min	Documentary	Japanese	7.5	79	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00173	TV Show	Silent Dream 173	S. Patel	France	September 13, 2018	2017	R	3 Seasons	Thriller	Spanish	9.3	69	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00174	TV Show	Silent Journey 174	M. Garcia	Canada	February 16, 2024	2006	PG	5 Seasons	Horror	Hindi	9.3	59	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00175	TV Show	Hidden Journey 175	S. Patel	Germany	April 29, 2020	2017	G	8 Seasons	Horror	Spanish	6	83	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00176	TV Show	Golden Empire 176	A. Smith	Japan	June 05, 2022	2021	G	6 Seasons	Comedy	Spanish	9.2	81	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00177	TV Show	Silent Empire 177	L. Brown	United Kingdom	May 17, 2023	2001	TV-MA	4 Seasons	Documentary	Hindi	5.7	97	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00178	Movie	Last Empire 178	E. Martin	India	August 11, 2020	1996	G	87 min	Action	English	9.4	99	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00179	Movie	Last River 179	M. Garcia	Japan	July 25, 2022	2015	PG	135 min	Horror	French	5.7	89	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00180	Movie	Broken River 180	A. Smith	United Kingdom	June 09, 2024	2002	PG-13	143 min	Action	English	9.5	65	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00181	TV Show	Shadow City 181	L. Brown	Australia	February 03, 2020	2024	R	5 Seasons	Comedy	Spanish	6.6	81	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00182	TV Show	Hidden Dream 182	R. Kumar	South Korea	July 04, 2019	2022	TV-14	8 Seasons	Sci-Fi	French	6.5	51	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00183	Movie	Silent River 183	M. Garcia	United Kingdom	October 12, 2021	2020	R	112 min	Thriller	Japanese	7.6	45	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00184	TV Show	Last Empire 184	M. Garcia	United States	January 26, 2019	2000	PG	3 Seasons	Thriller	Hindi	7.3	57	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00185	TV Show	Hidden River 185	S. Patel	Canada	May 21, 2021	2013	TV-MA	1 Seasons	Comedy	Japanese	6.7	65	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00186	TV Show	Hidden Code 186	M. Garcia	Canada	April 26, 2019	2015	TV-14	5 Seasons	Sci-Fi	Hindi	7.3	78	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00187	TV Show	Silent River 187	M. Garcia	Canada	August 31, 2022	2017	G	8 Seasons	Comedy	Korean	7.3	85	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00188	TV Show	Shadow Code 188	M. Garcia	Australia	November 16, 2018	2024	R	2 Seasons	Action	Hindi	6.8	73	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00189	TV Show	Broken Code 189	E. Martin	India	April 22, 2019	2016	R	4 Seasons	Sci-Fi	English	7.3	72	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00190	TV Show	Silent Journey 190	L. Brown	United States	February 15, 2023	2013	PG-13	1 Seasons	Horror	English	8.5	77	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00191	Movie	Broken City 191	A. Smith	India	July 05, 2018	2008	PG-13	119 min	Drama	Spanish	7.1	89	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00192	Movie	Last Journey 192	K. Tanaka	India	September 18, 2022	2006	G	123 min	Action	French	8.9	47	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00193	Movie	Golden River 193	M. Garcia	United States	January 10, 2024	2007	TV-MA	142 min	Horror	Japanese	8.2	74	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00194	TV Show	Golden Journey 194	S. Patel	United Kingdom	December 19, 2023	2007	PG	4 Seasons	Documentary	French	8.6	42	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00195	TV Show	Shadow City 195	A. Smith	France	March 06, 2018	2002	R	4 Seasons	Drama	Hindi	8.5	65	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00196	TV Show	Shadow Dream 196	L. Brown	Canada	August 17, 2020	2012	G	4 Seasons	Romance	Korean	7.9	83	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00197	TV Show	Broken Code 197	M. Garcia	Spain	August 28, 2020	2004	PG	3 Seasons	Horror	English	7.7	77	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00198	Movie	Shadow Empire 198	K. Tanaka	Germany	October 16, 2022	2012	PG	138 min	Thriller	Japanese	6.1	64	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00199	Movie	Golden Empire 199	J. Lee	France	January 13, 2024	2010	TV-MA	105 min	Thriller	Japanese	7.7	48	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00200	TV Show	Hidden River 200	R. Kumar	France	September 21, 2020	2003	PG	4 Seasons	Comedy	Korean	8.4	52	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00201	Movie	Silent Code 201	A. Smith	India	January 04, 2021	2007	TV-14	161 min	Documentary	Japanese	6.3	98	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00202	TV Show	Golden Dream 202	R. Kumar	France	May 26, 2021	2024	TV-14	1 Seasons	Documentary	Japanese	9.2	75	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00203	TV Show	Silent River 203	S. Patel	Japan	March 05, 2021	2007	PG	8 Seasons	Romance	Korean	9	69	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00204	Movie	Golden Empire 204	S. Patel	Spain	April 08, 2023	2019	TV-MA	115 min	Documentary	French	6.1	56	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00205	TV Show	Hidden Dream 205	K. Tanaka	Australia	April 24, 2021	1999	TV-14	4 Seasons	Sci-Fi	Korean	8.1	83	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00206	TV Show	Broken River 206	E. Martin	France	November 20, 2020	2019	TV-14	8 Seasons	Romance	Hindi	6.1	74	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00207	TV Show	Silent City 207	R. Kumar	United States	January 24, 2020	2024	TV-MA	1 Seasons	Thriller	Hindi	8.9	54	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00208	Movie	Silent Journey 208	S. Patel	United States	September 11, 2019	1995	R	102 min	Sci-Fi	French	7.5	40	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00209	TV Show	Silent Empire 209	A. Smith	Germany	February 18, 2018	1995	G	5 Seasons	Thriller	Hindi	5.9	46	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00210	Movie	Silent Empire 210	S. Patel	Japan	September 14, 2020	2001	PG-13	154 min	Comedy	Spanish	9.3	69	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00211	Movie	Shadow River 211	A. Smith	India	July 14, 2020	2004	PG-13	162 min	Thriller	Japanese	7.7	43	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00212	Movie	Last River 212	S. Patel	Australia	December 03, 2019	1997	TV-MA	138 min	Drama	Hindi	6.3	95	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00213	TV Show	Broken Empire 213	A. Smith	United Kingdom	January 15, 2021	1996	PG	2 Seasons	Drama	Hindi	7.8	88	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00214	TV Show	Silent Dream 214	K. Tanaka	Germany	November 12, 2018	2004	PG	3 Seasons	Thriller	French	6.1	84	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00215	Movie	Shadow City 215	K. Tanaka	Canada	August 14, 2023	2018	TV-MA	119 min	Romance	Korean	8.6	78	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00216	TV Show	Last Journey 216	M. Garcia	South Korea	August 29, 2021	1995	R	5 Seasons	Thriller	Japanese	6.2	77	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00217	TV Show	Golden River 217	R. Kumar	India	December 18, 2018	2019	PG	5 Seasons	Action	Japanese	8.3	80	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00218	Movie	Shadow City 218	A. Smith	Japan	May 15, 2022	2005	PG-13	121 min	Romance	Spanish	5.9	45	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00219	Movie	Silent Code 219	K. Tanaka	India	November 01, 2022	2009	TV-MA	146 min	Comedy	Spanish	7.7	78	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00220	TV Show	Last Journey 220	R. Kumar	Germany	April 27, 2022	1995	TV-14	5 Seasons	Action	French	7	48	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00221	TV Show	Golden City 221	J. Lee	Spain	May 18, 2021	2003	PG	8 Seasons	Thriller	Spanish	7.4	44	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00222	TV Show	Silent Code 222	M. Garcia	France	October 27, 2020	2002	TV-MA	8 Seasons	Action	Spanish	5.5	65	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00223	TV Show	Last Empire 223	K. Tanaka	Australia	April 06, 2022	2020	TV-14	6 Seasons	Horror	Spanish	7.9	84	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00224	Movie	Last Empire 224	L. Brown	France	May 17, 2023	2005	R	97 min	Documentary	Spanish	7	92	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00225	TV Show	Silent Code 225	J. Lee	Germany	February 04, 2022	1998	TV-MA	4 Seasons	Sci-Fi	French	6.3	91	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00226	TV Show	Broken Journey 226	J. Lee	Japan	October 11, 2018	2021	TV-14	7 Seasons	Horror	French	6.1	67	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00227	TV Show	Silent Journey 227	K. Tanaka	Germany	October 30, 2018	2009	TV-MA	8 Seasons	Romance	French	9.1	74	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00228	Movie	Broken River 228	S. Patel	United Kingdom	March 24, 2019	2019	G	106 min	Drama	Korean	9.4	83	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00229	TV Show	Shadow City 229	R. Kumar	Japan	September 20, 2021	2020	TV-14	7 Seasons	Documentary	Japanese	7	69	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00230	Movie	Shadow Empire 230	K. Tanaka	India	November 13, 2021	1995	TV-MA	136 min	Action	Spanish	6.7	69	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00231	Movie	Last City 231	E. Martin	France	November 05, 2023	2010	PG	119 min	Comedy	Spanish	5.7	85	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00232	Movie	Broken City 232	J. Lee	Canada	April 03, 2018	2022	R	118 min	Action	Korean	6.1	75	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00233	TV Show	Broken Dream 233	J. Lee	Spain	March 08, 2023	2002	PG-13	7 Seasons	Drama	French	8	52	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00234	TV Show	Shadow River 234	M. Garcia	Canada	August 22, 2024	2008	PG	7 Seasons	Comedy	Korean	5.9	95	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00235	Movie	Last City 235	L. Brown	France	February 07, 2022	2005	R	100 min	Romance	Korean	7.1	65	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00236	Movie	Silent Dream 236	L. Brown	Australia	November 26, 2021	2006	R	133 min	Comedy	French	6	47	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00237	Movie	Hidden River 237	J. Lee	Germany	June 04, 2021	1998	PG-13	98 min	Thriller	Korean	6.1	64	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00238	TV Show	Silent Dream 238	E. Martin	Japan	January 31, 2020	2010	TV-14	3 Seasons	Action	Spanish	8.9	79	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00239	Movie	Golden Dream 239	K. Tanaka	Germany	January 10, 2022	1995	R	137 min	Sci-Fi	Japanese	8.2	66	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00240	TV Show	Silent City 240	M. Garcia	Japan	June 25, 2023	2000	TV-MA	2 Seasons	Horror	Hindi	7.7	50	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00241	TV Show	Silent Code 241	R. Kumar	Australia	May 05, 2024	2018	TV-MA	8 Seasons	Horror	Korean	8.8	63	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00242	Movie	Last City 242	M. Garcia	Japan	December 13, 2022	2012	TV-MA	102 min	Sci-Fi	Spanish	6.9	92	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00243	Movie	Golden Dream 243	S. Patel	Australia	December 04, 2022	2022	G	90 min	Thriller	Hindi	8	90	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00244	Movie	Silent Empire 244	L. Brown	Australia	April 27, 2020	2020	R	82 min	Action	Spanish	9.4	58	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00245	TV Show	Golden Journey 245	A. Smith	Japan	June 03, 2024	2003	G	2 Seasons	Action	French	9	55	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00246	Movie	Broken Journey 246	E. Martin	United Kingdom	August 12, 2021	2021	R	106 min	Horror	French	7.2	68	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00247	Movie	Broken Empire 247	S. Patel	France	January 17, 2019	2007	PG-13	140 min	Romance	Korean	5.5	89	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00248	Movie	Broken Empire 248	R. Kumar	Germany	February 21, 2023	2015	PG-13	160 min	Documentary	Japanese	8.8	71	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00249	TV Show	Hidden Code 249	J. Lee	Australia	August 15, 2021	2021	PG-13	5 Seasons	Romance	French	8.5	42	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
s00250	Movie	Golden Journey 250	E. Martin	United States	February 26, 2023	1995	PG-13	90 min	Documentary	French	9.1	96	A fictional Netflix-style title created for SQL and dashboard portfolio projects.
